family id FT10
9621 9621 92
9622 9622 92
9624 9624 79.5
9626 9626 77.3333333333
9627 9627 90.5
9628 9628 78.5
9629 9629 98
9630 9630 84.75
9631 9631 98.5
9632 9632 92
9633 9633 88.25
9634 9634 91
9636 9636 109.75
9637 9637 81.25
9638 9638 88.25
9639 9639 78
9640 9640 92.75
9642 9642 95.5
9644 9644 76.75
9645 9645 77.5
9646 9646 62.5
9647 9647 67.75
9648 9648 60
9649 9649 76.25
9651 9651 64
9653 9653 59.5
9655 9655 79
9656 9656 78.25
9658 9658 71.3333333333
9659 9659 71.25
9660 9660 53.25
9661 9661 55.25
9663 9663 69.75
9665 9665 85.5
9666 9666 86.5
9668 9668 82.5
9669 9669 81
9673 9673 87.5
9678 9678 69
9679 9679 69.25
9680 9680 62.75
9681 9681 66.25
9682 9682 77.75
9683 9683 64
9684 9684 84
9690 9690 75.5
9693 9693 68.5
9696 9696 77.5
9697 9697 77.5
9698 9698 81
9699 9699 74.25
9701 9701 85.5
9703 9703 76.5
9704 9704 75.5
9705 9705 71.3333333333
9706 9706 95.25
9707 9707 80.5
9708 9708 89
9709 9709 82
9710 9710 80.5
9711 9711 75
9712 9712 77
9713 9713 75.25
9714 9714 80.75
9717 9717 90.25
9719 9719 72.5
9720 9720 100.75
9721 9721 77.5
9722 9722 99.5
9723 9723 76
9725 9725 61.25
9726 9726 67
9727 9727 61.25
9728 9728 77.5
9729 9729 96.75
9730 9730 89
9731 9731 92.5
9732 9732 82
9733 9733 80
9735 9735 85.5
9736 9736 78
9737 9737 85.75
9738 9738 79
9739 9739 86
9741 9741 88
9743 9743 79.5
9744 9744 78.75
9745 9745 79.5
9747 9747 86
9748 9748 81
9749 9749 74.75
9755 9755 88.75
9756 9756 88.75
9757 9757 93.75
9759 9759 61.5
9762 9762 95.5
9768 9768 74.5
9769 9769 66.5
9770 9770 67
9771 9771 62.5
9772 9772 67
9774 9774 68
9775 9775 60
9776 9776 65.25
9777 9777 66.5
9778 9778 71.5
9779 9779 63.25
9780 9780 72.25
9781 9781 60
9782 9782 63.25
9783 9783 76.5
9784 9784 60.25
9785 9785 63.25
9786 9786 64.75
9788 9788 62.5
9789 9789 65
9790 9790 66.75
9791 9791 65.3333333333
9792 9792 62.75
9793 9793 62
9794 9794 69.25
9795 9795 57.75
9796 9796 73.5
9797 9797 69
9798 9798 65.25
9799 9799 66.25
9800 9800 68.5
9801 9801 62
9802 9802 69.75
9803 9803 63
9804 9804 65.75
9805 9805 70.5
9806 9806 67
9807 9807 67.5
9808 9808 75.25
9809 9809 74.75
9811 9811 69.75
9812 9812 67.75
9813 9813 65.75
9814 9814 71.5
9815 9815 72.5
9816 9816 63
9817 9817 64.25
9819 9819 98
9821 9821 79.5
9823 9823 63
9824 9824 115.5
9825 9825 68.5
9826 9826 77
9827 9827 69.25
9828 9828 82.25
9830 9830 61.5
9831 9831 86.25
9832 9832 97
9833 9833 75.75
9834 9834 75
9835 9835 81.75
9838 9838 73.5
9839 9839 102.75
9840 9840 100.5
9841 9841 77.75
9843 9843 62.75
9844 9844 89.25
9845 9845 77.5
9846 9846 116
9848 9848 85.75
9849 9849 99
9850 9850 95.5
9851 9851 119.5
9852 9852 76.25
9853 9853 56.75
9854 9854 58.75
9855 9855 73
9856 9856 75.25
9858 9858 120.75
9859 9859 76.25
9860 9860 80.75
9861 9861 107.5
9862 9862 67.5
9864 9864 63.25
9866 9866 104.75
9867 9867 101.75
9868 9868 70.25
9870 9870 100.5
9871 9871 105
9873 9873 66.75
9874 9874 68.75
9875 9875 63.75
9876 9876 87.25
9878 9878 113.25
9879 9879 68.5
9880 9880 91.5
9881 9881 82
9882 9882 78.5
9883 9883 60
9885 9885 116.25
9886 9886 85.75
9888 9888 86.25
9890 9890 96
9892 9892 88.5
9894 9894 88.25
9895 9895 75.75
9897 9897 81
9898 9898 97.75
9899 9899 70.75
9900 9900 53
9901 9901 117
9902 9902 98
9903 9903 108
9904 9904 107.5
9905 9905 89.75
9906 9906 88
9908 9908 65.25
9909 9909 87
9911 9911 66
9915 9915 84.25
9918 9918 81.25
9920 9920 64
9921 9921 64.5
9924 9924 66.5
9927 9927 87.75
9928 9928 83.5
9929 9929 85.25
9930 9930 75.75
9933 9933 76.75
9937 9937 67
9938 9938 67.25
9939 9939 75.25
9941 9941 70
9942 9942 65.6666666667
9943 9943 74
9944 9944 75.75
9945 9945 113.5
9946 9946 61.5
9947 9947 104.5
9949 9949 76.75
9950 9950 99
9951 9951 98.75
9952 9952 86
9953 9953 88
9957 9957 83.75
9958 9958 82
9959 9959 81.5
9960 9960 82.5
9962 9962 78
9963 9963 75
9964 9964 70
9965 9965 70.5
9966 9966 90.5
9968 9968 66.75
9969 9969 68.75
9970 9970 86.5
9972 9972 63
9973 9973 94.25
9976 9976 79
9979 9979 82.5
9980 9980 68.5
9981 9981 69.25
9982 9982 85.5
9983 9983 63
9984 9984 65.75
9985 9985 71
9987 9987 91
9988 9988 95.5
9990 9990 83.75
9991 9991 90.5
9993 9993 97.75
9995 9995 64.25
9996 9996 61.3333333333
9997 9997 70.25
9998 9998 68
9999 9999 72
10001 10001 68.75
10002 10002 61
10006 10006 113.5
10008 10008 79.25
10009 10009 80.75
10010 10010 85
10011 10011 71
10012 10012 113.5
10013 10013 92.25
10014 10014 96.75
10015 10015 69.75
10017 10017 87.5
10018 10018 90
10020 10020 72.5
10022 10022 73.5
10023 10023 96.25
