family id FT16
9920 9920 48.66666667
9924 9924 57
9927 9927 73.25
9928 9928 77
9933 9933 49
9937 9937 47.75
9938 9938 74
9941 9941 42.5
9944 9944 68
9947 9947 125
10006 10006 131.5
10014 10014 132
10020 10020 48
